Tahun;Jenis_Pajak;Target;Realisasi;Persentase;Tingkat_Kepatuhan
2019;Retribusi Pemakaian Kekayaan Daerah;4360291000;4769069905;109;Sangat Patuh
2020;Retribusi Pemakaian Kekayaan Daerah;3921741000;4244505276;108;Sangat Patuh
2021;Retribusi Pemakaian Kekayaan Daerah;3716156435;4722142016;127;Sangat Patuh
2022;Retribusi Pemakaian Kekayaan Daerah;3716156435;4437484886;119;Sangat Patuh
2023;Retribusi Pemakaian Kekayaan Daerah;4022615565;4901160269;122;Sangat Patuh
2024;Retribusi Pemakaian Kekayaan Daerah;5419128853;5683370383;105;Sangat Patuh
2016;Retribusi Terminal;2220215750;2159331822;97;Patuh
2017;Retribusi Terminal;602000000;637169500;106;Sangat Patuh
2018;Retribusi Terminal;650000000;671994800;103;Sangat Patuh
2019;Retribusi Terminal;605000000;624478100;103;Sangat Patuh
2020;Retribusi Terminal;250000000;325488900;130;Sangat Patuh
2021;Retribusi Terminal;700000000;767206500;110;Sangat Patuh
2022;Retribusi Terminal;700000000;1284978200;184;Sangat Patuh
2023;Retribusi Terminal;1400000000;1600021500;114;Sangat Patuh
2024;Retribusi Terminal;1605399795;1535090500;96;Patuh
2016;Retribusi Tempat Khusus Parkir;455000000;573285000;126;Sangat Patuh
2017;Retribusi Tempat Khusus Parkir;455000000;662962500;146;Sangat Patuh
2018;Retribusi Tempat Khusus Parkir;540000000;753887300;140;Sangat Patuh
2019;Retribusi Tempat Khusus Parkir;98000000;102477000;105;Sangat Patuh
2020;Retribusi Tempat Khusus Parkir;27500000;28101000;102;Sangat Patuh
2021;Retribusi Tempat Khusus Parkir;954663200;824663200;86;Cukup Patuh
2022;Retribusi Tempat Khusus Parkir;111628000;1032969000;925;Sangat Patuh
2023;Retribusi Tempat Khusus Parkir;115000000;1179132000;1025;Sangat Patuh
2024;Retribusi Tempat Khusus Parkir;126500000;1264419000;1000;Sangat Patuh
2016;Retribusi Tempat Penginapan/Pesanggrahan/Villa;13750000;16500000;120;Sangat Patuh
2017;Retribusi Tempat Penginapan/Pesanggrahan/Villa;13750000;8450000;61;Tidak Patuh
2018;Retribusi Tempat Penginapan/Pesanggrahan/Villa;12250000;7250000;59;Tidak Patuh
2019;Retribusi Tempat Penginapan/Pesanggrahan/Villa;10250000;6230000;61;Tidak Patuh
2020;Retribusi Tempat Penginapan/Pesanggrahan/Villa;9725000;5550000;57;Tidak Patuh
2021;Retribusi Tempat Penginapan/Pesanggrahan/Villa;17725000;18050000;102;Sangat Patuh
2022;Retribusi Tempat Penginapan/Pesanggrahan/Villa;14625000;12080000;83;Cukup Patuh
2023;Retribusi Tempat Penginapan/Pesanggrahan/Villa;13255000;20080000;151;Sangat Patuh
2024;Retribusi Tempat Penginapan/Pesanggrahan/Villa;18006700;26080000;145;Sangat Patuh
2016;Retribusi Rumah Potong Hewan;550000000;518345500;94;Patuh
2017;Retribusi Rumah Potong Hewan;545512000;500849000;92;Patuh
2018;Retribusi Rumah Potong Hewan;545512000;411837000;75;Tidak Patuh
2019;Retribusi Rumah Potong Hewan;545512000;269514000;49;Tidak Patuh
2020;Retribusi Rumah Potong Hewan;200000000;201968000;101;Sangat Patuh
2021;Retribusi Rumah Potong Hewan;166588000;166588000;100;Sangat Patuh
2022;Retribusi Rumah Potong Hewan;300000000;200111000;67;Tidak Patuh
2023;Retribusi Rumah Potong Hewan;250000000;213552000;85;Cukup Patuh
2024;Retribusi Rumah Potong Hewan;250000000;224016000;90;Cukup Patuh
2016;Retribusi Tempat Rekreasi dan olahraga;8000000000;9299857268;116;Sangat Patuh
2017;Retribusi Tempat Rekreasi dan olahraga;8000000000;10923165362;137;Sangat Patuh
2018;Retribusi Tempat Rekreasi dan olahraga;11000000000;11526010465;105;Sangat Patuh
2019;Retribusi Tempat Rekreasi dan olahraga;12101500000;12110203288;100;Sangat Patuh
2020;Retribusi Tempat Rekreasi dan olahraga;3061809930;4212638430;138;Sangat Patuh
2021;Retribusi Tempat Rekreasi dan olahraga;4647556000;4647556000;100;Sangat Patuh
2022;Retribusi Tempat Rekreasi dan olahraga;918372000;915707000;100;Patuh
2023;Retribusi Tempat Rekreasi dan olahraga;1713500000;1332644500;78;Tidak Patuh
2024;Retribusi Tempat Rekreasi dan olahraga;1136234300;1073130100;94;Patuh
2016;Retribusi Penjualan Produksi Usaha Daerah;104000000;109102000;105;Sangat Patuh
2017;Retribusi Penjualan Produksi Usaha Daerah;106000000;117931450;111;Sangat Patuh
